Date,OMRXTBILL90
8/10/2017,353.35
8/11/2017,353.34
8/14/2017,353.33
8/15/2017,353.33
8/16/2017,353.3
8/17/2017,353.28
8/18/2017,353.27
8/21/2017,353.26
8/22/2017,353.25
8/23/2017,353.25
8/24/2017,353.22
8/25/2017,353.22
8/28/2017,353.21
8/29/2017,353.2
8/30/2017,353.15
8/31/2017,353.13
9/1/2017,353.12
9/4/2017,353.11
9/5/2017,353.1
9/6/2017,353.1
9/7/2017,353.08
9/8/2017,353.07
9/11/2017,353.06
9/12/2017,353.05
9/13/2017,353.03
9/14/2017,353.01
9/15/2017,353
9/18/2017,352.99
9/19/2017,352.98
9/20/2017,352.99
9/21/2017,352.96
9/22/2017,352.95
9/25/2017,352.96
9/26/2017,352.94
9/27/2017,352.9
9/28/2017,352.88
9/29/2017,352.88
10/2/2017,352.87
10/3/2017,352.87
10/4/2017,352.87
10/5/2017,352.85
10/6/2017,352.84
10/9/2017,352.85
10/10/2017,352.83
10/11/2017,352.82
10/12/2017,352.81
10/13/2017,352.79
10/16/2017,352.8
10/17/2017,352.79
10/18/2017,352.78
10/19/2017,352.76
10/20/2017,352.75
10/23/2017,352.74
10/24/2017,352.74
10/25/2017,352.74
10/26/2017,352.73
10/27/2017,352.72
10/30/2017,352.71
10/31/2017,352.71
11/1/2017,352.7
11/2/2017,352.69
11/3/2017,352.69
11/6/2017,352.69
11/7/2017,352.68
11/8/2017,352.71
11/9/2017,352.68
11/10/2017,352.67
11/13/2017,352.67
11/14/2017,352.66
11/15/2017,352.65
11/16/2017,352.63
11/17/2017,352.62
11/20/2017,352.61
11/21/2017,352.59
11/22/2017,352.58
11/24/2017,352.56
11/27/2017,352.56
11/28/2017,352.55
11/29/2017,352.56
11/30/2017,352.55
12/1/2017,352.54
12/4/2017,352.54
12/5/2017,352.53
12/6/2017,352.54
12/7/2017,352.48
12/8/2017,352.48
12/11/2017,352.47
12/12/2017,352.44
12/13/2017,352.45
12/14/2017,352.44
12/15/2017,352.43
12/18/2017,352.42
12/19/2017,352.4
12/20/2017,352.39
12/21/2017,352.35
12/22/2017,352.34
12/27/2017,352.33
12/28/2017,352.27
12/29/2017,352.26
1/2/2018,352.22
1/3/2018,352.21
1/4/2018,352.19
1/5/2018,352.18
1/8/2018,352.17
1/9/2018,352.17
1/10/2018,352.15
1/11/2018,352.13
1/12/2018,352.13
1/16/2018,352.13
1/17/2018,352.13
1/18/2018,352.13
1/19/2018,352.13
1/22/2018,352.13
1/23/2018,352.13
1/24/2018,352.13
1/25/2018,352.13
1/26/2018,352.13
1/29/2018,352.13
1/30/2018,352.13
1/31/2018,351.85
2/1/2018,351.83
2/2/2018,351.82
2/5/2018,351.82
2/6/2018,351.81
2/7/2018,352.16
2/8/2018,352.14
2/9/2018,351.89
2/12/2018,351.88
2/13/2018,351.87
2/14/2018,351.86
2/15/2018,351.85
2/16/2018,351.84
2/20/2018,351.82
2/21/2018,351.82
2/22/2018,351.8
2/23/2018,351.79
2/26/2018,351.79
2/27/2018,351.78
2/28/2018,351.78
3/1/2018,351.77
3/2/2018,351.76
3/5/2018,351.75
3/6/2018,351.75
3/7/2018,351.74
3/8/2018,351.72
3/9/2018,351.71
3/12/2018,351.72
3/13/2018,351.71
3/14/2018,351.71
3/15/2018,351.68
3/16/2018,351.67
3/19/2018,351.68
3/20/2018,351.67
3/21/2018,351.66
3/22/2018,351.62
3/23/2018,351.62
3/26/2018,351.63
3/27/2018,351.6
3/28/2018,351.64
3/29/2018,351.63
4/2/2018,351.63
4/3/2018,351.62
4/4/2018,351.61
4/5/2018,351.59
4/6/2018,351.58
4/9/2018,351.58
4/10/2018,351.57
4/11/2018,351.56
4/12/2018,351.54
4/13/2018,351.53
4/16/2018,351.52
4/17/2018,351.49
4/18/2018,351.48
4/19/2018,351.48
4/20/2018,351.47
4/23/2018,351.47
4/24/2018,351.46
4/25/2018,351.45
4/26/2018,351.43
4/27/2018,351.41
4/30/2018,351.37
5/2/2018,351.4
5/3/2018,351.37
5/4/2018,351.36
5/7/2018,351.36
5/8/2018,351.32
5/9/2018,351.28
5/11/2018,351.27
5/14/2018,351.26
5/15/2018,351.25
5/16/2018,351.25
5/17/2018,351.23
5/18/2018,351.22
5/21/2018,351.23
5/22/2018,351.2
5/23/2018,351.2
5/24/2018,351.17
5/25/2018,351.17
5/29/2018,351.15
5/30/2018,351.14
5/31/2018,351.12
6/1/2018,351.11
6/4/2018,351.1
6/5/2018,351.09
6/7/2018,351.07
6/8/2018,351.06
6/11/2018,351.05
6/12/2018,351.04
6/13/2018,351.03
6/14/2018,351.01
6/15/2018,351
6/18/2018,351
6/19/2018,350.99
6/20/2018,350.97
6/21/2018,350.91
6/25/2018,350.95
6/26/2018,350.94
6/27/2018,350.93
6/28/2018,350.91
6/29/2018,350.9
7/2/2018,350.9
7/3/2018,350.89
7/5/2018,350.82
7/6/2018,350.81
7/9/2018,350.8
7/10/2018,350.8
7/11/2018,350.79
7/12/2018,350.77
7/13/2018,350.76
7/16/2018,350.75
7/17/2018,350.74
7/18/2018,350.75
7/19/2018,350.72
7/20/2018,350.72
7/23/2018,350.71
7/24/2018,350.73
7/25/2018,350.72
7/26/2018,350.69
7/27/2018,350.68
7/30/2018,350.67
7/31/2018,350.66
8/1/2018,350.66
8/2/2018,350.62
8/3/2018,350.62
8/6/2018,350.61
8/7/2018,350.6
8/8/2018,350.59
8/9/2018,350.57
8/10/2018,350.56
8/13/2018,350.56
8/14/2018,350.55
8/15/2018,350.54
8/16/2018,350.52
8/17/2018,350.52
8/20/2018,350.51
8/21/2018,350.5
8/22/2018,350.49
8/23/2018,350.47
8/24/2018,350.46
8/27/2018,350.45
8/28/2018,350.44
8/29/2018,350.46
8/30/2018,350.43
8/31/2018,350.43
9/4/2018,350.41
9/5/2018,350.39
9/6/2018,350.38
9/7/2018,350.37
9/10/2018,350.36
9/11/2018,350.34
9/12/2018,350.35
9/13/2018,350.33
9/14/2018,350.32
9/17/2018,350.31
9/18/2018,350.3
9/19/2018,350.3
9/20/2018,350.27
9/21/2018,350.27
9/24/2018,350.26
9/25/2018,350.25
9/26/2018,350.24
9/27/2018,350.22
9/28/2018,350.21
10/1/2018,350.2
10/2/2018,350.19
10/3/2018,350.19
10/4/2018,350.17
10/5/2018,350.16
10/8/2018,350.15
10/9/2018,350.14
10/10/2018,350.14
10/11/2018,350.11
10/12/2018,350.09
10/15/2018,350.09
10/16/2018,350.08
10/17/2018,350.07
10/18/2018,350.05
10/19/2018,350.04
10/22/2018,350.04
10/23/2018,350.03
10/24/2018,350.08
10/25/2018,350.05
10/26/2018,350.04
10/29/2018,350.04
10/30/2018,350.03
10/31/2018,350.01
11/1/2018,349.99
11/2/2018,349.97
11/5/2018,349.96
11/6/2018,349.97
11/7/2018,349.97
11/8/2018,349.93
11/9/2018,349.92
11/12/2018,349.93
11/13/2018,349.91
11/14/2018,349.9
11/15/2018,349.88
11/16/2018,349.87
11/19/2018,349.86
11/20/2018,349.86
11/21/2018,349.85
11/23/2018,349.83
11/26/2018,349.81
11/27/2018,349.81
11/28/2018,349.81
11/29/2018,349.81
11/30/2018,349.8
12/3/2018,349.79
12/4/2018,349.78
12/6/2018,349.74
12/7/2018,349.71
12/10/2018,349.7
12/11/2018,349.7
12/12/2018,349.69
12/13/2018,349.67
12/14/2018,349.66
12/17/2018,349.65
12/18/2018,349.61
12/19/2018,349.6
12/20/2018,349.53
12/21/2018,349.52
12/26/2018,349.52
12/27/2018,349.46
12/28/2018,349.46
1/2/2019,349.39
1/3/2019,349.37
1/4/2019,349.37
1/7/2019,349.33
1/8/2019,349.32
1/9/2019,349.29
1/10/2019,349.29
1/11/2019,349.28
1/14/2019,349.28
1/15/2019,349.27
1/16/2019,349.27
1/17/2019,349.26
1/18/2019,349.25
1/22/2019,349.24
1/23/2019,349.24
1/24/2019,349.23
1/25/2019,349.22
1/28/2019,349.22
1/29/2019,349.21
1/30/2019,349.2
1/31/2019,349.19
2/1/2019,349.19
2/4/2019,349.18
2/5/2019,349.18
2/6/2019,349.17
2/7/2019,349.15
2/8/2019,349.15
2/11/2019,349.14
2/12/2019,349.14
2/13/2019,349.14
2/14/2019,349.12
2/15/2019,349.12
2/19/2019,349.11
2/20/2019,349.11
2/21/2019,349.09
2/22/2019,349.09
2/25/2019,349.08
2/26/2019,349.08
2/27/2019,349.07
2/28/2019,349.06
3/1/2019,349.06
3/4/2019,349.05
3/5/2019,349.05
3/6/2019,349.04
3/7/2019,349.03
3/8/2019,349.02
3/11/2019,349.02
3/12/2019,349.02
3/13/2019,349.01
3/14/2019,349
3/15/2019,348.99
3/18/2019,348.99
3/19/2019,348.98
3/20/2019,349.01
3/21/2019,349
3/22/2019,348.99
3/25/2019,348.99
3/26/2019,348.98
3/27/2019,348.96
3/28/2019,348.97
3/29/2019,348.96
4/1/2019,348.96
4/2/2019,348.93
4/3/2019,348.91
4/4/2019,348.89
4/5/2019,348.89
4/8/2019,348.89
4/9/2019,348.88
4/10/2019,348.88
4/11/2019,348.86
4/12/2019,348.86
4/15/2019,348.86
4/16/2019,348.85
4/17/2019,348.83
4/18/2019,348.82
4/23/2019,348.82
4/24/2019,348.82
4/25/2019,348.8
4/26/2019,348.8
4/29/2019,348.79
4/30/2019,348.78
